time,Bx,By,Bz,BT,point
3.154444,-47.8259,5.8849,-36.557100000000005,60.483700000000006,22
3.164828,-47.888799999999996,5.9608,-36.523700000000005,60.521300000000004,22
3.183174,-47.9536,6.037799999999999,-36.48950000000001,60.56,22
3.185178,-48.019,6.1141,-36.455200000000005,60.59920000000001,22
3.206139,-48.0862,6.187899999999999,-36.423300000000005,60.64110000000001,22
3.209827,-48.14780000000001,6.2567,-36.395700000000005,60.680600000000005,22
3.215607,-48.202500000000015,6.317900000000001,-36.3736,60.71710000000001,22
3.224615,-48.245300000000015,6.371600000000001,-36.3571,60.746700000000004,22
3.234709,-48.2794,6.415900000000001,-36.3442,60.77069999999999,22
3.244455,-48.307900000000004,6.4415000000000004,-36.337500000000006,60.792100000000005,22
3.254463,-48.32890000000002,6.450800000000001,-36.33330000000001,60.80730000000001,22
3.264673,-48.34120000000001,6.443200000000001,-36.335300000000004,60.81750000000001,22
3.274469,-48.34170000000001,6.4238,-36.339200000000005,60.81820000000001,22
3.285624,-48.33600000000001,6.3957999999999995,-36.3462,60.81480000000001,22
3.308138,-48.32530000000001,6.3647,-36.352000000000004,60.80640000000001,22
3.312216,-48.31840000000002,6.3298000000000005,-36.3515,60.79690000000001,22
3.315072,-48.31540000000002,6.294900000000001,-36.34530000000001,60.7871,22
3.324625,-48.31740000000002,6.268700000000002,-36.3284,60.775800000000004,22
3.334726,-48.32440000000001,6.245700000000002,-36.3014,60.7628,22
3.346098,-48.33700000000002,6.2308,-36.262499999999996,60.748000000000005,22
3.354461,-48.35780000000001,6.215300000000001,-36.218599999999995,60.73680000000001,22
3.364556,-48.386700000000005,6.2042,-36.162800000000004,60.725500000000004,22
3.374616,-48.423700000000004,6.1880000000000015,-36.100100000000005,60.71610000000001,22
3.387461,-48.463800000000006,6.168500000000002,-36.0292,60.704100000000004,22
3.395657,-48.506400000000006,6.141500000000001,-35.9482,60.68750000000001,22
3.408224,-48.54700000000001,6.108300000000002,-35.870900000000006,60.67110000000001,22
3.417035,-48.58310000000001,6.066900000000001,-35.798100000000005,60.6529,22
3.424725,-48.613000000000014,6.013600000000001,-35.73910000000001,60.63680000000001,22
3.434621,-48.63470000000001,5.9590000000000005,-35.6933,60.62190000000001,22
3.444449,-48.64580000000001,5.901300000000002,-35.6651,60.60860000000001,22
3.454785,-48.644900000000014,5.8504000000000005,-35.65200000000001,60.59530000000001,22
3.472511,-48.6328,5.8001000000000005,-35.657000000000004,60.58380000000001,22
3.474455,-48.610600000000005,5.7599,-35.682700000000004,60.57750000000002,22
3.493494,-48.58030000000001,5.7273,-35.7229,60.57400000000001,22
3.49618,-48.545000000000016,5.708399999999999,-35.7838,60.57990000000001,22
3.505497,-48.507900000000014,5.699999999999999,-35.85040000000001,60.588600000000014,22
3.516233,-48.475200000000015,5.700399999999999,-35.91940000000001,60.60320000000001,22
3.524561,-48.44870000000002,5.7052,-35.9847,60.62090000000001,22
3.534625,-48.43100000000002,5.711899999999999,-36.050000000000004,60.64570000000001,22
3.544582,-48.42400000000002,5.723599999999999,-36.110200000000006,60.67650000000001,22
3.554824,-48.42840000000001,5.7348,-36.1653,60.71330000000001,22
3.564553,-48.444,5.748600000000001,-36.2173,60.75760000000002,22
3.576715,-48.47290000000001,5.7612000000000005,-36.2586,60.806100000000015,22
3.596245,-48.5125,5.774400000000001,-36.2967,60.86130000000001,22
3.598556,-48.5578,5.785100000000001,-36.3316,60.91910000000001,22
3.605582,-48.605000000000004,5.8016000000000005,-36.3664,60.979,22
3.61448,-48.64980000000001,5.825700000000001,-36.4024,61.03840000000001,22
3.624883,-48.6922,5.8580000000000005,-36.438300000000005,61.09670000000001,22
3.634658,-48.7303,5.896600000000001,-36.468,61.14850000000001,22
3.644488,-48.763900000000014,5.9401,-36.4927,61.1944,22
3.654492,-48.78800000000001,5.989700000000001,-36.5143,61.231700000000004,22
3.664598,-48.80280000000001,6.0461,-36.5302,61.25880000000001,22
3.67676,-48.80560000000001,6.109200000000001,-36.5449,61.27630000000001,22
3.699555,-48.79890000000001,6.171100000000001,-36.554,61.28280000000001,22
3.702222,-48.7834,6.229300000000001,-36.5488,61.27330000000001,22
3.704779,-48.76230000000001,6.279300000000001,-36.535599999999995,61.25370000000001,22
3.714515,-48.73980000000001,6.3211,-36.5125,61.22640000000001,22
3.724794,-48.71220000000001,6.357900000000001,-36.485099999999996,61.192000000000014,22
3.73453,-48.68130000000001,6.385900000000001,-36.453900000000004,61.15200000000001,22
3.744764,-48.64920000000001,6.404000000000001,-36.4196,61.108100000000015,22
3.755597,-48.62470000000002,6.4109,-36.3772,61.06410000000002,22
3.764448,-48.60760000000001,6.407100000000002,-36.327400000000004,61.02050000000002,22
3.774684,-48.59930000000001,6.3916,-36.27440000000001,60.98080000000002,22
3.784604,-48.59860000000001,6.371600000000001,-36.22140000000001,60.94670000000002,22
3.797058,-48.6041,6.350300000000001,-36.176500000000004,60.922300000000014,22
3.816823,-48.6177,6.325200000000001,-36.129000000000005,60.9025,22
3.818902,-48.632000000000005,6.2963000000000005,-36.08460000000001,60.884600000000006,22
3.825527,-48.651300000000006,6.261100000000002,-36.040800000000004,60.87040000000001,22
3.834495,-48.66950000000001,6.2265000000000015,-36.00450000000001,60.85970000000002,22
3.844635,-48.68080000000001,6.195000000000001,-35.9807,60.8513,22
3.855668,-48.68200000000001,6.1686000000000005,-35.9743,60.84580000000001,22
3.864506,-48.67580000000001,6.148000000000001,-35.984100000000005,60.84460000000001,22
3.874452,-48.66140000000001,6.1336,-36.00580000000001,60.84460000000001,22
3.884474,-48.639400000000016,6.123700000000001,-36.042500000000004,60.8481,22
3.897647,-48.61810000000001,6.118200000000001,-36.089200000000005,60.85850000000001,22
3.904761,-48.59050000000001,6.119700000000001,-36.156600000000005,60.876900000000006,22
3.921113,-48.56480000000002,6.128800000000001,-36.235299999999995,60.90430000000001,22
3.925669,-48.54230000000001,6.148500000000001,-36.324000000000005,60.94120000000001,22
3.934473,-48.52910000000001,6.176300000000001,-36.4102,60.98490000000001,22
3.94449,-48.527800000000006,6.206000000000001,-36.485800000000005,61.031900000000014,22
3.954639,-48.53530000000001,6.2369,-36.54900000000001,61.078600000000016,22
3.964983,-48.54520000000001,6.2658000000000005,-36.5998,61.11960000000001,22
3.982349,-48.553900000000006,6.292800000000001,-36.6388,61.15240000000001,22
3.984651,-48.562000000000005,6.322200000000002,-36.6566,61.172100000000015,22
4.003718,-48.560100000000006,6.350400000000001,-36.65689999999999,61.17330000000001,22
4.005866,-48.55440000000001,6.372200000000001,-36.632799999999996,61.156300000000016,22
4.014761,-48.53930000000001,6.386400000000001,-36.5974,61.124400000000016,22
4.025819,-48.51290000000001,6.390600000000001,-36.5533,61.07730000000001,22
4.034437,-48.474000000000004,6.381800000000001,-36.5073,61.017800000000015,22
4.044417,-48.421400000000006,6.3661,-36.4625,60.94740000000001,22
4.054565,-48.3644,6.347200000000001,-36.4196,60.87440000000001,22
4.064504,-48.30810000000001,6.321400000000001,-36.381,60.80390000000001,22
4.082506,-48.257999999999996,6.292400000000001,-36.3436,60.73880000000001,22
4.084676,-48.212900000000005,6.2547,-36.3117,60.680200000000006,22
4.098787,-48.17710000000001,6.2119,-36.284800000000004,60.63150000000002,22
4.104534,-48.1464,6.172300000000002,-36.267300000000006,60.59280000000001,22
4.114428,-48.1238,6.136500000000002,-36.2517,60.56200000000001,22
4.124472,-48.1137,6.105700000000001,-36.235400000000006,60.54140000000001,22
4.134665,-48.1118,6.080400000000001,-36.2216,60.52940000000001,22
4.144846,-48.1236,6.0613,-36.2097,60.53010000000001,22
4.15453,-48.13920000000001,6.0398,-36.199,60.534200000000006,22
4.164491,-48.155400000000014,6.0264999999999995,-36.19330000000001,60.54260000000001,22
4.174426,-48.17110000000001,6.0177,-36.1938,60.55460000000001,22
4.184885,-48.18690000000001,6.0152,-36.203100000000006,60.572500000000005,22
4.197734,-48.20280000000002,6.018400000000001,-36.2187,60.5947,22
4.204393,-48.22250000000001,6.0216,-36.2411,60.62390000000001,22
